date,air_temp_51000h,air_temp_51101h,average_wave_period_51000h,average_wave_period_51101h,average_wave_period_51201h,dominant_wave_period_51000h,dominant_wave_period_51101h,dominant_wave_period_51201h,wave_height_21418t,wave_height_46402t,wave_height_51000h,wave_height_51101h,wave_height_51201h
2017-03-27,23.5625,24.183333333333334,9.571666666666667,9.372083333333334,11.297021276595745,15.9175,14.285416666666666,15.319787234042554,NA,14.045031249999775,3.55375,3.131666666666667,2.5174468085106385
2017-03-28,23.39090909090909,24.12857142857143,8.833181818181817,9.188095238095238,10.115405405405406,14.692272727272728,13.266666666666666,14.421891891891892,NA,14.026364583333068,3.119090909090909,2.803809523809524,2.0667567567567566
2017-03-29,23.570833333333333,24.070833333333333,7.533333333333333,8.669166666666667,8.712083333333334,13.010833333333332,12.677083333333332,13.22875,NA,14.051874999999777,2.5375,2.67125,1.6689583333333333
2017-03-30,23.433333333333334,24.095833333333335,7.57625,8.203333333333333,8.941304347826087,13.769166666666667,12.610416666666666,13.615434782608695,NA,14.066499999999811,2.7983333333333333,2.1079166666666667,1.741086956521739
2017-03-31,23.291666666666668,23.654166666666665,7.434583333333333,11.218333333333334,9.720833333333333,13.036666666666667,16.441666666666666,15.79875,NA,14.071010416666496,2.785833333333333,3.1975,2.118125
2017-04-01,23.5625,24.375,9.0125,9.122083333333334,10.826041666666667,16.099583333333335,14.314583333333333,15.697500000000002,NA,14.130395833333097,3.888333333333333,3.242916666666667,2.8537500000000002
2017-04-02,23.358333333333334,24.341666666666665,7.6433333333333335,7.4991666666666665,7.949375,13.952916666666667,11.763333333333334,13.475208333333333,NA,14.18618749999978,3.1754166666666666,2.725416666666667,2.1910416666666666
2017-04-03,23.433333333333334,24.145833333333332,7.057916666666666,7.347083333333333,6.835416666666667,10.60625,10.173333333333334,11.741041666666666,NA,14.176833333333121,2.3529166666666668,2.40375,1.698125
2017-04-04,23.34583333333333,24.041666666666668,7.211666666666667,7.631666666666667,6.722765957446809,9.80625,10.060833333333333,11.250425531914894,NA,14.164156249999754,1.9379166666666667,2.15875,1.4491489361702128
2017-04-05,23.204166666666666,23.766666666666666,8.129166666666666,7.682083333333333,6.512708333333333,10.734166666666667,9.809583333333332,10.799583333333333,NA,14.158031249999814,1.86,1.8366666666666667,1.3491666666666666
